


 mean density =  5514.308     surface ellipticity = 1/299.863
 nic =  55   noc = 109   moho = 213   nsl = 219   n = 222



 level   radius       rho        vpv        vph       vsv       vsh      eta       g       1/qm     1/qk      1/ell    etaell
   78  2158967.6 11519.804   9704.174   9704.174     0.000     0.000  1.00000  7.24647  0.00000  0.00002  0.0024738  0.04639
   79  2201580.2 11481.684   9667.265   9667.265     0.000     0.000  1.00000  7.37168  0.00000  0.00002  0.0024761  0.04685
   80  2244192.8 11442.725   9629.526   9629.526     0.000     0.000  1.00000  7.49620  0.00000  0.00002  0.0024783  0.04736
   81  2286805.4 11402.918   9590.934   9590.934     0.000     0.000  1.00000  7.62000  0.00000  0.00002  0.0024805  0.04793
   82  2329417.9 11362.252   9551.463   9551.463     0.000     0.000  1.00000  7.74305  0.00000  0.00002  0.0024827  0.04855
   83  2372030.5 11320.718   9511.090   9511.090     0.000     0.000  1.00000  7.86533  0.00000  0.00002  0.0024849  0.04924
   84  2414643.1 11278.305   9469.791   9469.791     0.000     0.000  1.00000  7.98681  0.00000  0.00002  0.0024871  0.04998
   85  2457255.7 11235.004   9427.540   9427.540     0.000     0.000  1.00000  8.10746  0.00000  0.00002  0.0024893  0.05078
   86  2499868.3 11190.805   9384.314   9384.314     0.000     0.000  1.00000  8.22726  0.00000  0.00002  0.0024915  0.05164
   87  2542480.9 11145.697   9340.088   9340.088     0.000     0.000  1.00000  8.34617  0.00000  0.00002  0.0024937  0.05257
   88  2585093.5 11099.672   9294.837   9294.837     0.000     0.000  1.00000  8.46417  0.00000  0.00002  0.0024959  0.05355
   89  2627706.0 11052.718   9248.538   9248.538     0.000     0.000  1.00000  8.58123  0.00000  0.00002  0.0024981  0.05459
   90  2670318.6 11004.827   9201.166   9201.166     0.000     0.000  1.00000  8.69733  0.00000  0.00002  0.0025003  0.05569
   91  2712931.2 10955.988   9152.697   9152.697     0.000     0.000  1.00000  8.81245  0.00000  0.00002  0.0025026  0.05686
   92  2755543.8 10906.191   9103.106   9103.106     0.000     0.000  1.00000  8.92655  0.00000  0.00002  0.0025048  0.05808
   93  2798156.4 10855.426   9052.368   9052.368     0.000     0.000  1.00000  9.03960  0.00000  0.00002  0.0025071  0.05937
   94  2840769.0 10803.684   9000.461   9000.461     0.000     0.000  1.00000  9.15160  0.00000  0.00002  0.0025094  0.06072
   95  2883381.6 10750.954   8947.358   8947.358     0.000     0.000  1.00000  9.26250  0.00000  0.00002  0.0025116  0.06212
   96  2925994.1 10697.227   8893.036   8893.036     0.000     0.000  1.00000  9.37229  0.00000  0.00002  0.0025140  0.06359
   97  2968606.7 10642.492   8837.471   8837.471     0.000     0.000  1.00000  9.48093  0.00000  0.00002  0.0025163  0.06513
   98  3011219.3 10586.740   8780.638   8780.638     0.000     0.000  1.00000  9.58840  0.00000  0.00002  0.0025187  0.06672
   99  3053831.9 10529.960   8722.512   8722.512     0.000     0.000  1.00000  9.69468  0.00000  0.00002  0.0025211  0.06838
  100  3096444.5 10472.144   8663.070   8663.070     0.000     0.000  1.00000  9.79973  0.00000  0.00002  0.0025235  0.07010
  101  3139057.1 10413.280   8602.287   8602.287     0.000     0.000  1.00000  9.90354  0.00000  0.00002  0.0025259  0.07189
  102  3181669.7 10353.360   8540.138   8540.138     0.000     0.000  1.00000 10.00608  0.00000  0.00002  0.0025284  0.07374
  103  3224282.2 10292.372   8476.600   8476.600     0.000     0.000  1.00000 10.10732  0.00000  0.00002  0.0025309  0.07565
1
 level   radius       rho        vpv        vph       vsv       vsh      eta       g       1/qm     1/qk      1/ell    etaell

  104  3266894.8 10230.308   8411.647   8411.647     0.000     0.000  1.00000 10.20723  0.00000  0.00002  0.0025335  0.07763
  105  3309507.4 10167.156   8345.256   8345.256     0.000     0.000  1.00000 10.30579  0.00000  0.00002  0.0025361  0.07968
  106  3352120.0 10102.908   8277.402   8277.402     0.000     0.000  1.00000 10.40297  0.00000  0.00002  0.0025387  0.08180
  107  3394732.6 10037.554   8208.061   8208.061     0.000     0.000  1.00000 10.49874  0.00000  0.00002  0.0025413  0.08399
  108  3437345.2  9971.083   8137.208   8137.208     0.000     0.000  1.00000 10.59308  0.00000  0.00002  0.0025440  0.08625
  109  3479957.8  9903.485   8064.819   8064.819     0.000     0.000  1.00000 10.68596  0.00000  0.00002  0.0025468  0.08858
 ------------------------------------------------------------------------------------------------------------------------------------
  110  3479957.8  5566.452  13716.598  13716.598  7264.655  7264.655  1.00000 10.68596  0.00321  0.00002  0.0025468  0.08858
  111  3517468.3  5547.661  13707.418  13707.418  7265.032  7265.032  1.00000 10.63218  0.00321  0.00002  0.0025496  0.11772
  112  3554978.9  5528.900  13698.328  13698.328  7265.377  7265.377  1.00000 10.58135  0.00321  0.00002  0.0025532  0.14541
  113  3592489.4  5510.164  13689.325  13689.325  7265.691  7265.691  1.00000 10.53332  0.00321  0.00002  0.0025574  0.17168
  114  3630000.0  5491.451  13680.406  13680.406  7265.975  7265.975  1.00000 10.48798  0.00321  0.00002  0.0025623  0.19658
 ------------------------------------------------------------------------------------------------------------------------------------
  115  3630000.0  5491.451  13680.407  13680.407  7265.974  7265.974  1.00000 10.48798  0.00321  0.00002  0.0025623  0.19658
  116  3662833.3  5475.086  13640.636  13640.636  7250.947  7250.947  1.00000 10.45040  0.00321  0.00002  0.0025671  0.21727
  117  3695666.7  5458.732  13601.160  13601.160  7235.997  7235.997  1.00000 10.41471  0.00321  0.00002  0.0025723  0.23698
  118  3728500.0  5442.388  13561.955  13561.955  7221.117  7221.117  1.00000 10.38082  0.00321  0.00002  0.0025779  0.25571
  119  3761333.3  5426.049  13523.000  13523.000  7206.298  7206.298  1.00000 10.34868  0.00321  0.00002  0.0025839  0.27352
  120  3794166.7  5409.715  13484.274  13484.274  7191.534  7191.534  1.00000 10.31821  0.00321  0.00002  0.0025902  0.29041
  121  3827000.0  5393.381  13445.753  13445.753  7176.817  7176.817  1.00000 10.28935  0.00321  0.00002  0.0025969  0.30644
  122  3859833.3  5377.047  13407.418  13407.418  7162.140  7162.140  1.00000 10.26204  0.00321  0.00002  0.0026039  0.32161
  123  3892666.7  5360.709  13369.245  13369.245  7147.493  7147.493  1.00000 10.23622  0.00321  0.00002  0.0026112  0.33598
  124  3925500.0  5344.364  13331.212  13331.212  7132.871  7132.871  1.00000 10.21182  0.00321  0.00002  0.0026187  0.34956
  125  3958333.3  5328.011  13293.299  13293.299  7118.265  7118.265  1.00000 10.18881  0.00321  0.00002  0.0026265  0.36238
  126  3991166.7  5311.646  13255.482  13255.482  7103.668  7103.668  1.00000 10.16711  0.00321  0.00002  0.0026345  0.37449
  127  4024000.0  5295.267  13217.740  13217.740  7089.072  7089.072  1.00000 10.14669  0.00321  0.00002  0.0026427  0.38589
  128  4056833.3  5278.872  13180.052  13180.052  7074.470  7074.470  1.00000 10.12748  0.00321  0.00002  0.0026511  0.39663
  129  4089666.7  5262.458  13142.395  13142.395  7059.853  7059.853  1.00000 10.10946  0.00321  0.00002  0.0026597  0.40673
  130  4122500.0  5246.022  13104.747  13104.747  7045.215  7045.215  1.00000 10.09257  0.00321  0.00002  0.0026685  0.41622
  131  4155333.3  5229.563  13067.087  13067.087  7030.548  7030.548  1.00000 10.07676  0.00321  0.00002  0.0026774  0.42512
  132  4188166.7  5213.077  13029.392  13029.392  7015.843  7015.843  1.00000 10.06200  0.00321  0.00002  0.0026865  0.43346
  133  4221000.0  5196.562  12991.641  12991.641  7001.094  7001.094  1.00000 10.04825  0.00321  0.00002  0.0026957  0.44127
  134  4253833.3  5180.015  12953.813  12953.813  6986.292  6986.292  1.00000 10.03547  0.00321  0.00002  0.0027050  0.44857
  135  4286666.7  5163.434  12915.884  12915.884  6971.431  6971.431  1.00000 10.02361  0.00321  0.00002  0.0027144  0.45538
  136  4319500.0  5146.817  12877.833  12877.833  6956.503  6956.503  1.00000 10.01265  0.00321  0.00002  0.0027239  0.46173
  137  4352333.3  5130.160  12839.639  12839.639  6941.499  6941.499  1.00000 10.00255  0.00321  0.00002  0.0027335  0.46764
  138  4385166.7  5113.461  12801.279  12801.279  6926.413  6926.413  1.00000  9.99327  0.00321  0.00002  0.0027432  0.47313
  139  4418000.0  5096.719  12762.731  12762.731  6911.236  6911.236  1.00000  9.98479  0.00321  0.00002  0.0027529  0.47823
  140  4450833.3  5079.929  12723.974  12723.974  6895.961  6895.961  1.00000  9.97707  0.00321  0.00002  0.0027627  0.48294
  141  4483666.7  5063.090  12684.986  12684.986  6880.581  6880.581  1.00000  9.97007  0.00321  0.00002  0.0027726  0.48729
  142  4516500.0  5046.200  12645.745  12645.745  6865.088  6865.088  1.00000  9.96379  0.00321  0.00002  0.0027825  0.49131
  143  4549333.3  5029.255  12606.228  12606.228  6849.474  6849.474  1.00000  9.95817  0.00321  0.00002  0.0027925  0.49500
  144  4582166.7  5012.253  12566.415  12566.415  6833.731  6833.731  1.00000  9.95321  0.00321  0.00002  0.0028025  0.49838
  145  4615000.0  4995.191  12526.283  12526.283  6817.853  6817.853  1.00000  9.94886  0.00321  0.00002  0.0028125  0.50148
  146  4647833.3  4978.068  12485.810  12485.810  6801.831  6801.831  1.00000  9.94510  0.00321  0.00002  0.0028225  0.50430
  147  4680666.7  4960.880  12444.975  12444.975  6785.657  6785.657  1.00000  9.94192  0.00321  0.00002  0.0028326  0.50687
  148  4713500.0  4943.625  12403.756  12403.756  6769.325  6769.325  1.00000  9.93928  0.00321  0.00002  0.0028427  0.50919
