 Give mantle model (i.e. S20RTS.sph)
 Give latitude, longitude, depth (in km)
   -90.00   110.00  1500.00 -0.61929
   -90.00   115.00  1500.00 -0.61927
   -90.00   120.00  1500.00 -0.61925
   -90.00   125.00  1500.00 -0.61922
   -90.00   130.00  1500.00 -0.61919
   -90.00   135.00  1500.00 -0.61916
   -90.00   140.00  1500.00 -0.61913
   -90.00   145.00  1500.00 -0.61911
   -90.00   150.00  1500.00 -0.61908
   -90.00   155.00  1500.00 -0.61905
   -90.00   160.00  1500.00 -0.61903
   -90.00   165.00  1500.00 -0.61901
   -90.00   170.00  1500.00 -0.61900
   -90.00   175.00  1500.00 -0.61899
   -90.00   180.00  1500.00 -0.61898
   -85.00  -180.00  1500.00 -0.51298
   -85.00  -175.00  1500.00 -0.49214
   -85.00  -170.00  1500.00 -0.47172
   -85.00  -165.00  1500.00 -0.45187
   -85.00  -160.00  1500.00 -0.43275
   -85.00  -155.00  1500.00 -0.41456
   -85.00  -150.00  1500.00 -0.39746
   -85.00  -145.00  1500.00 -0.38164
   -85.00  -140.00  1500.00 -0.36728
   -85.00  -135.00  1500.00 -0.35455
   -85.00  -130.00  1500.00 -0.34363
   -85.00  -125.00  1500.00 -0.33465
   -85.00  -120.00  1500.00 -0.32775
   -85.00  -115.00  1500.00 -0.32305
   -85.00  -110.00  1500.00 -0.32063
   -85.00  -105.00  1500.00 -0.32056
   -85.00  -100.00  1500.00 -0.32287
   -85.00   -95.00  1500.00 -0.32758
   -85.00   -90.00  1500.00 -0.33467
   -85.00   -85.00  1500.00 -0.34408
   -85.00   -80.00  1500.00 -0.35576
   -85.00   -75.00  1500.00 -0.36959
   -85.00   -70.00  1500.00 -0.38546
   -85.00   -65.00  1500.00 -0.40323
   -85.00   -60.00  1500.00 -0.42272
   -85.00   -55.00  1500.00 -0.44376
   -85.00   -50.00  1500.00 -0.46615
   -85.00   -45.00  1500.00 -0.48967
   -85.00   -40.00  1500.00 -0.51411
   -85.00   -35.00  1500.00 -0.53923
   -85.00   -30.00  1500.00 -0.56480
   -85.00   -25.00  1500.00 -0.59058
   -85.00   -20.00  1500.00 -0.61633
   -85.00   -15.00  1500.00 -0.64182
   -85.00   -10.00  1500.00 -0.66681
   -85.00    -5.00  1500.00 -0.69108
   -85.00     0.00  1500.00 -0.71442
   -85.00     5.00  1500.00 -0.73662
   -85.00    10.00  1500.00 -0.75749
   -85.00    15.00  1500.00 -0.77686
   -85.00    20.00  1500.00 -0.79458
   -85.00    25.00  1500.00 -0.81052
   -85.00    30.00  1500.00 -0.82456
   -85.00    35.00  1500.00 -0.83662
   -85.00    40.00  1500.00 -0.84663
   -85.00    45.00  1500.00 -0.85455
   -85.00    50.00  1500.00 -0.86037
   -85.00    55.00  1500.00 -0.86409
   -85.00    60.00  1500.00 -0.86573
   -85.00    65.00  1500.00 -0.86534
   -85.00    70.00  1500.00 -0.86299
   -85.00    75.00  1500.00 -0.85876
   -85.00    80.00  1500.00 -0.85273
   -85.00    85.00  1500.00 -0.84501
   -85.00    90.00  1500.00 -0.83571
   -85.00    95.00  1500.00 -0.82494
   -85.00   100.00  1500.00 -0.81281
   -85.00   105.00  1500.00 -0.79944
   -85.00   110.00  1500.00 -0.78493
   -85.00   115.00  1500.00 -0.76939
   -85.00   120.00  1500.00 -0.75292
   -85.00   125.00  1500.00 -0.73561
   -85.00   130.00  1500.00 -0.71755
   -85.00   135.00  1500.00 -0.69882
   -85.00   140.00  1500.00 -0.67949
   -85.00   145.00  1500.00 -0.65964
   -85.00   150.00  1500.00 -0.63934
   -85.00   155.00  1500.00 -0.61867
   -85.00   160.00  1500.00 -0.59772
   -85.00   165.00  1500.00 -0.57657
   -85.00   170.00  1500.00 -0.55532
   -85.00   175.00  1500.00 -0.53409
